Date,Close,Volume,Open,High,Low,MA,RSI,Upper,Lower,EMA12,EMA26,MACD,Combined_Indicator,Signal,Actual_Position
2020-02-05,80.3625,118826880,80.88,81.19,79.7375,79.41250000000001,41.074020319303344,88.28731156212791,70.5376884378721,79.27525589258643,76.00443849587035,3.270817396716083,-0.04181225818702357,S,S
2020-02-04,79.7125,136616520,78.8275,79.91,78.4086,79.9619642857143,41.73699303564114,88.87294147163593,71.05098709979268,79.34252421680391,76.27910971839846,3.06341449840545,-0.028671592780384732,S,S
2020-02-03,77.165,173985600,76.075,78.3725,75.555,80.14910714285715,36.4512674044984,88.73505709107361,71.56315719464068,79.00752049114178,76.34473122073932,2.662789270402456,-0.19551418061267095,S,L
2020-01-31,77.3775,199588400,80.2325,80.67,77.0725,80.08589285714287,31.928571428571416,88.56035276464166,71.61143294964407,78.7567481078892,76.42123261179567,2.335515496093521,-0.34019219687189983,S,L
2020-01-30,80.9675,126743240,80.136,81.0225,79.6875,80.14964285714287,34.54489920586438,87.4594415439895,72.83984417029623,79.09686378359855,76.75799315907007,2.3388706245284823,-0.26869522752841934,S,L
2020-01-29,81.085,216599720,81.1125,81.9625,80.345,80.16250000000001,33.59273670557717,85.8167373258434,74.50826267415661,79.40273089381417,77.07851218432414,2.324218709490026,-0.2972797482661623,S,S
2020-01-28,79.4225,162233960,78.15,79.6,78.0475,80.13910714285714,32.87149656266526,85.06428945314697,75.21392483256732,79.40577229476584,77.25214091141125,2.1536313833545933,-0.32845690067669586,S,S
2020-01-27,77.2375,161940040,77.515,77.9425,76.22,79.85339285714285,27.497538023853792,83.53355034628034,76.17323536800536,79.07219194172494,77.25105639945487,1.8211355422700706,-0.5010232881257122,S,L
2020-01-24,79.5775,146537520,80.0625,80.8325,79.3797,79.73625000000001,31.345996546396435,82.53284515729428,76.93965484270575,79.14993164299803,77.42338555505081,1.726546087947213,-0.4038457465310819,S,L
2020-01-23,79.8075,104471960,79.48,79.89,78.9125,79.59392857142858,30.855330659453415,82.2848543561846,76.90300278667256,79.25109600561372,77.59998662504705,1.6511093805666661,-0.4238991641078463,S,S
2020-01-22,79.425,101832480,79.645,79.9975,79.3275,79.55982142857142,32.703905091448334,82.26083537076182,76.85880748638102,79.27785046628853,77.73517280096948,1.5426776653190473,-0.3802585666995533,S,S
2020-01-21,79.1425,110843240,79.2975,79.755,79.0,79.47089285714286,31.64634146341463,82.15325379435582,76.7885319199299,79.25702731762875,77.83941926015692,1.4176080574718384,-0.41802414469948523,S,L
2020-01-17,79.6825,137816480,79.0675,79.685,78.75,79.44767857142857,32.90513833992097,82.13070926158626,76.76464788127088,79.32248465337817,77.97594375940456,1.3465408939736108,-0.38814593705404116,S,S
2020-01-16,78.81,108829000,78.3975,78.925,78.0225,79.26964285714284,29.810240644545758,81.90589681576068,76.633388898525,79.24364086055076,78.03772570315236,1.205915157398394,-0.4839141171241841,S,S
2020-01-15,77.835,121923520,77.9625,78.875,77.3875,79.08910714285715,29.76606330051868,81.75459149700804,76.42362278870625,79.02692688200449,78.02270898440032,1.004217897604164,-0.4997408789783478,S,L
2020-01-14,78.17,162613840,79.175,79.3925,78.0425,78.97892857142857,31.15811739820201,81.48930776277173,76.4685493800854,78.89509197708072,78.0336194300003,0.8614725470804245,-0.4718954007656732,S,L
2020-01-13,79.24,122086880,77.91,79.2675,77.7875,79.12714285714286,36.31080499354282,81.6253355064948,76.62895020779091,78.94815474983754,78.12298095370399,0.825173796133555,-0.330910857631789,S,S
